#,Name,ATS H,ATS H$,O/U,O/U $,GPG H,GPG A,Marg.,Total
,Francis Charron,15-31,-2023,30-16,1052,3.30,3.63,-0.33,6.93
,Cody Beach,15-30,-1396,19-24,-645,3.13,2.91,0.22,6.04
,Wes McCauley,18-29,-1358,27-20,472,3.02,3.13,-0.11,6.15
,Kelly Sutherland,16-29,-1259,25-20,291,2.93,3.22,-0.29,6.16
,Brandon Schrader,18-28,-1257,20-26,-807,3.00,3.11,-0.11,6.11
,Graham Skilliter,18-28,-991,22-24,-429,2.91,3.17,-0.26,6.09
,Eric Furlatt,17-23,-936,22-18,218,3.15,3.00,0.15,6.15
,Morgan MacPhee,5-14,-913,7-11,-438,2.37,3.26,-0.89,5.63
,Pierre Lambert,11-22,-883,20-13,468,3.18,3.06,0.12,6.24
,Gord Dwyer,18-26,-873,23-20,121,3.07,3.25,-0.18,6.32
,Peter MacDougall,17-25,-870,24-17,526,3.52,3.12,0.40,6.64
,Mitch Dunning,13-19,-851,12-19,-821,2.78,2.84,-0.06,5.63
,Brandon Blandina,18-27,-743,27-17,803,3.33,3.29,0.04,6.62
,Michael Sullivan,9-12,-739,13-8,324,2.76,3.71,-0.95,6.48
,Chris Lee,23-25,-712,19-29,-1022,2.98,2.71,0.27,5.69
,Jake Brenk,18-28,-688,27-19,533,3.09,3.26,-0.17,6.35
,Stephen Hiff,8-16,-587,8-16,-917,3.17,2.71,0.46,5.88
,Carter Sandlak,21-24,-577,23-22,-58,3.11,3.07,0.04,6.18
,Liam Maaskant,5-12,-576,11-6,417,3.59,3.47,0.12,7.06
,Garrett Rank,19-27,-465,25-21,183,3.43,3.24,0.20,6.67
,Kendrick Nicholson,21-25,-342,27-19,622,3.41,2.85,0.57,6.26
,Beaudry Halkidis,13-14,-324,15-12,123,3.07,2.56,0.52,5.63
,Frederick L'Ecuyer,21-23,-297,16-28,-1411,3.00,2.86,0.14,5.86
,Graedy Hamilton,9-8,-224,7-10,-391,2.82,2.76,0.06,5.59
,Corey Syvret,24-22,-196,21-25,-653,3.20,2.80,0.39,6.00
,Jean Hebert,17-19,-164,20-15,190,3.58,2.78,0.81,6.36
,Ghislain Hebert,0-1,-100,1-0,100,3.00,5.00,-2.00,8.00
,Riley Brace,5-6,-90,4-7,-305,2.91,3.09,-0.18,6.00
,Dan O'Rourke,7-7,-29,6-7,-153,3.29,2.93,0.36,6.21
,Tom Chmielewski,21-24,-27,21-23,-454,3.22,2.64,0.58,5.87
,Jordan Samuels-Thomas,23-23,-20,29-17,842,3.33,3.22,0.11,6.54
,Brian Pochmara,6-8,14,9-5,293,3.64,3.57,0.07,7.21
,Justin Kea,25-22,41,24-21,85,3.30,2.91,0.38,6.21
,Jon Mclsaac,20-23,50,25-18,400,3.23,3.12,0.12,6.35
,Kyle Rehman,23-23,148,27-18,663,3.39,3.02,0.37,6.41
,Trevor Hanson,23-24,189,20-26,-712,3.04,3.00,0.04,6.04
,Alex Lepkowski,9-7,215,6-10,-442,2.81,2.94,-0.13,5.75
,Marc Joannette,6-5,232,3-7,-440,2.55,2.73,-0.18,5.27
,Chris Rooney,5-3,246,2-6,-428,2.63,2.38,0.25,5.00
,Michael Markovic,23-23,277,24-22,-36,3.13,3.17,-0.04,6.30
,TJ Luxmore,27-19,442,19-27,-1019,3.26,2.54,0.72,5.80
,Francois St. Laurent,15-15,459,17-12,385,3.43,3.20,0.23,6.63
,Chris Schlenker,26-21,546,29-18,979,3.43,3.15,0.28,6.57
,Furman South,28-18,686,20-26,-843,3.17,2.87,0.30,6.04
